"Barack Obama","1961-08-04"
"Henry Dunant","1828-05-08"
"Frédéric Passy","1822-05-20"
"Jimmy Carter","1924-10-01"
"Shirin Ebadi","1947-06-21"
"Al Gore","1948-03-31"
"Muhammad Yunus","1940-06-28"
"Mohamed ElBaradei","1942-06-17"
"Wangari Maathai","1940-04-01"
"José Ramos-Horta","1949-12-26"
"Carlos Filipe Ximenes Belo","1948-02-03"
"Linus Pauling","1901-02-28"
"Elie Wiesel","1928-09-30"
"Menachem Begin","1913-08-16"
"Mother Teresa","1910-08-26"
"Nelson Mandela","1918-07-18"
"Desmond Tutu","1931-10-07"
"John Hume","1937-01-18"
"Frederik Willem de Klerk","1936-03-18"
"Yasser Arafat","1929-08-24"
"Yitzhak Rabin","1922-03-01"
"Henry Kissinger","1923-05-27"
"Shimon Peres","1923-08-02"
"Aung San Suu Kyi","1945-06-19"
"Martin Luther King, Jr.","1929-01-15"
"René Cassin","1887-10-05"
"Kofi Annan","1938-04-08"
"George Marshall","1880-12-31"
"Élie Ducommun","1833-02-19"
"Kim Dae-jung","1925-12-03"
"Joseph Rotblat","1908-11-04"
"Rigoberta Menchú","1959-01-09"
"Tenzin Gyatso, 14th Dalai Lama","1935-07-06"
"Óscar Arias","1940-09-13"
"Lech Wałęsa","1943-09-29"
"Alva Myrdal","1902-01-31"
"Adolfo Pérez Esquivel","1931-11-26"
"Anwar Sadat","1918-12-25"
"Betty Williams","1943-05-22"
"Andrei Sakharov","1921-05-21"
"Seán MacBride","1904-01-26"
"Willy Brandt","1913-12-18"
"Norman Borlaug","1914-03-25"
"Dag Hammarskjöld","1905-07-29"
"Philip Noel-Baker, Baron Noel-Baker","1889-11-01"
"Georges Pire","1910-02-10"
"Lester B. Pearson","1897-04-23"
"Léon Jouhaux","1879-07-01"
"Ralph Bunche","1903-08-07"
"John Boyd Orr, 1st Baron Boyd-Orr","1880-09-23"
"Emily Greene Balch","1867-01-08"
"Cordell Hull","1871-10-02"
"Robert Cecil, 1st Viscount Cecil of Chelwood","1864-09-14"
"Carlos Saavedra Lamas","1878-11-01"
"Carl von Ossietzky","1889-10-03"
"Arthur Henderson","1863-09-13"
"Norman Angell","1872-12-26"
"Jane Addams","1860-09-06"
"Nathan Söderblom","1866-01-15"
"Frank B. Kellogg","1856-12-22"
"Ferdinand Buisson","1841-12-20"
"Aristide Briand","1862-03-28"
"Austen Chamberlain","1863-10-16"
"Fridtjof Nansen","1861-10-10"
"Hjalmar Branting","1860-11-23"
"Léon Bourgeois","1851-05-21"
"Henri La Fontaine","1854-04-22"
"Elihu Root","1845-02-15"
"Tobias Michael Carel Asser","1838-04-28"
"Auguste Marie François Beernaert","1829-07-26"
"Klas Pontus Arnoldson","1844-10-27"
"Ernesto Teodoro Moneta","1833-09-20"
"Bertha von Suttner","1843-06-09"
"William Randal Cremer","1828-03-18"
"David Trimble","1944-10-15"
"Jody Williams","1950-10-09"
"Eisaku Sato","1901-03-27"
"Charles Albert Gobat","1843-05-21"
"Mairead Corrigan","1944-01-27"
"Alfonso García Robles","1911-03-20"
"Martti Ahtisaari","1937-06-23"
"Theodore Roosevelt","1858-10-27"
"John Mott","1865-05-25"
"Christian Lous Lange","1869-09-17"
"Fredrik Bajer","1837-04-21"
"Albert Schweitzer","1875-01-14"
"Liu Xiaobo","1955-12-28"
"Woodrow Wilson","1856-12-28"
